id,name,rarity,cardtype,battleExp,price,hasbossimage,basehp,baseatk,basedef,basewis,baseagi,maxhp,maxatk,maxdef,maxwis,maxagi,maxlevel,growtype,skillid1,skillid2,evolution,maxevloution,cantrade,materialexp,peHP,peATK,peDEF,peWIS,peAGI,display
24,飞刀刺客,2,1,52,2330,0,860,1090,710,1110,880,2150,2710,1790,2780,2200,40,2,52,0,1,2,0,45,2650,3210,2290,3280,2700,0
25,魔龙幼仔,1,1,34,500,0,480,390,590,580,480,1930,1560,2340,2300,1930,30,2,64,0,1,2,0,9,2430,2060,2840,2800,2430,1
26,狡诈刀客,2,1,52,2340,0,910,1090,700,1050,920,2280,2730,1740,2620,2290,40,2,51,0,1,2,0,45,2780,3230,2240,3120,2790,1
27,傀儡炮兵,1,1,34,520,0,490,390,610,610,500,1960,1570,2440,2460,1980,30,2,53,0,1,2,0,9,2460,2070,2940,2960,2480,1
28,凶残狼王,1,1,33,440,0,410,480,430,410,460,1630,1930,1700,1630,1840,30,2,51,0,1,4,0,9,2130,2430,2200,2130,2340,1
29,少林武僧,2,1,51,2240,0,860,1070,660,1040,840,2150,2660,1650,2600,2100,40,2,51,0,1,2,0,45,2650,3160,2150,3100,2600,1
30,伊西斯,3,1,97,5570,0,1560,1710,1590,1480,1610,3470,3790,3530,3300,3590,70,2,27,0,1,4,1,90,3970,4290,4030,3800,4090,1
31,匕首刺客,1,1,34,530,0,490,560,500,510,570,1950,2220,1980,2030,2270,30,2,52,0,1,2,0,9,2450,2720,2480,2530,2770,1
32,矮人枪兵,2,1,53,2580,0,970,820,1180,1190,1000,2430,2060,2960,2980,2500,40,2,57,0,1,2,0,45,2930,2560,3460,3480,3000,1
33,静坐罗汉 诺距罗,3,5,97,5670,0,1540,1730,1560,1580,1690,3420,3850,3460,3520,3760,70,2,37,0,1,2,1,90,3920,4350,3960,4020,4260,1
34,半兽人 霍格,3,5,99,6620,0,1730,2010,2010,1860,1840,3890,4520,4530,4170,4140,70,1,46,0,1,2,1,90,4390,5020,5030,4670,4640,1
35,长枪女将,1,1,34,460,0,440,430,360,530,560,1770,1720,1460,2100,2240,30,2,51,0,1,2,0,9,2270,2220,1960,2600,2740,1
36,咆哮战士,1,1,34,530,0,510,400,610,620,510,2040,1600,2440,2480,2040,30,2,50,0,1,2,0,9,2540,2100,2940,2980,2540,1
37,双刀武者,1,1,34,460,0,490,590,430,390,420,1940,2350,1720,1550,1700,30,2,58,0,1,4,0,9,2440,2850,2220,2050,2200,1
38,森林游侠,1,1,35,580,0,620,550,520,480,710,2460,2200,2060,1920,2860,30,2,57,0,1,2,0,9,2960,2700,2560,2420,3360,1
39,荷鲁斯之眼,2,1,52,2350,0,890,730,1120,1060,890,2230,1830,2790,2650,2230,40,2,38,0,1,2,0,45,2730,2330,3290,3150,2730,0
40,猫族长老,2,1,53,2640,0,1040,1190,800,1240,1000,2600,2980,2000,3100,2500,40,2,8,0,1,2,0,45,3100,3480,2500,3600,3000,1
41,铁甲,2,1,54,2890,0,1100,840,1370,1330,1130,2760,2090,3410,3330,2810,40,2,44,0,1,4,0,45,3260,2590,3910,3830,3310,1
42,狂暴魔人,2,1,52,2300,0,950,1120,890,840,800,2380,2810,2220,2110,1990,40,2,46,0,1,2,0,45,2880,3310,2720,2610,2490,1
43,张角,3,1,101,7630,0,2000,2130,2100,2560,2110,4500,4780,4730,5770,4740,70,1,28,0,1,4,1,90,5000,5280,5230,6270,5240,1
44,夕阳武士,1,1,34,460,0,460,500,450,430,480,1860,2020,1820,1730,1910,30,2,50,0,1,4,0,9,2360,2520,2320,2230,2410,1
45,机关箭兵,1,1,33,440,0,440,470,460,420,430,1750,1890,1830,1660,1740,30,2,57,0,1,4,0,9,2250,2390,2330,2160,2240,1
46,海姆达尔,3,1,103,8780,0,2450,1940,2820,2960,2370,5560,4420,6420,6730,5380,70,3,2,0,1,4,1,90,6060,4920,6920,7230,5880,1
47,阿尔克墨涅,3,1,101,7400,0,2010,2520,1600,2450,1990,4530,5670,3600,5510,4490,70,1,8,0,1,2,1,90,5030,6170,4100,6010,4990,1
48,公牛神 阿匹斯,3,5,97,5650,0,1540,1540,1270,1830,1890,3420,3420,2820,4080,4210,70,2,45,0,1,2,1,90,3920,3920,3320,4580,4710,1
49,铁甲护卫,2,1,52,2370,0,880,1030,1020,890,910,2190,2580,2550,2210,2270,40,2,43,0,1,2,0,45,2690,3080,3050,2710,2770,1
50,暗夜忍者,2,1,52,2340,0,880,1010,990,920,880,2210,2530,2470,2290,2200,40,2,47,0,1,2,0,45,2710,3030,2970,2790,2700,1
51,高傲神兽 独角兽,3,1,102,7830,0,2330,2110,1930,2050,2770,5300,4800,4390,4670,6290,70,3,5,0,1,2,1,90,5800,5300,4890,5170,6790,1
52,柳生十兵卫,3,1,99,6630,0,1860,1940,1940,1860,1870,4190,4360,4370,4190,4200,70,1,46,0,1,4,1,90,4690,4860,4870,4690,4700,1
53,狂躁野马,2,1,53,2580,1,1110,950,890,860,1340,2780,2380,2220,2140,3350,40,2,23,0,1,2,0,45,3280,2880,2720,2640,3850,1
54,亡灵之书,2,1,51,2150,0,830,890,860,820,900,2080,2230,2160,2060,2260,40,2,30,0,1,4,0,45,2580,2730,2660,2560,2760,0
55,暴怒麋鹿,1,1,34,460,0,440,480,490,440,430,1760,1920,1940,1760,1720,30,2,44,0,1,4,0,9,2260,2420,2440,2260,2220,1
56,凶狠相扑,2,1,52,2360,0,890,940,690,1120,1070,2230,2350,1730,2800,2680,40,2,45,0,1,4,0,45,2730,2850,2230,3300,3180,1
57,蝎子女神 塞勒凯特,4,1,173,18350,1,3870,3610,3190,3150,4530,8470,7890,6980,6900,9900,99,3,13,0,1,2,1,1000,8970,8390,7480,7400,10400,0
58,羽扇术士,3,1,101,7290,0,2010,2390,1600,2390,2030,4520,5380,3600,5380,4560,70,1,6,0,3,4,1,90,5700,6424,4893,6666,5717,1
59,羽扇方士,2,1,53,2560,0,1000,760,1200,1190,960,2500,1910,2990,2960,2400,40,2,7,0,1,4,0,45,3000,2410,3490,3460,2900,1
60,护法罗汉,2,1,52,2360,0,900,1000,910,940,960,2250,2500,2280,2340,2400,40,2,64,0,1,4,0,45,2750,3000,2780,2840,2900,1
61,护法尊者,3,1,100,7180,0,1980,2180,1910,2020,2160,4450,4910,4300,4530,4860,70,1,8,0,3,4,1,90,5573,6090,5430,5673,6017,1
62,巨毒蛤蟆,1,1,34,520,0,540,650,510,470,450,2150,2590,2050,1870,1800,30,2,54,0,1,2,0,9,2650,3090,2550,2370,2300,1
64,爆裂刺鱼,1,1,33,440,0,430,400,350,540,490,1710,1620,1420,2140,1980,30,2,59,0,1,2,0,9,2210,2120,1920,2640,2480,1
66,硬甲毒虫,1,1,34,470,0,450,530,360,550,440,1810,2120,1460,2190,1760,30,2,51,0,1,2,0,9,2310,2620,1960,2690,2260,1
67,魅惑人鱼,2,1,51,2230,0,890,1010,670,1030,850,2220,2530,1680,2590,2130,40,2,41,0,3,4,0,45,3205,3462,2747,3687,3119,1
68,假面武士,2,1,52,2360,0,900,1010,970,910,920,2240,2530,2430,2280,2300,40,2,45,0,3,4,0,45,3273,3600,3454,3283,3344,1
69,巨毒之王 鸡蛇,3,1,103,8450,0,2190,2330,2360,2730,2460,4970,5310,5350,6200,5590,70,3,8,0,1,2,1,90,5470,5810,5850,6700,6090,1
71,伊登,3,1,98,6100,0,1600,1740,1740,1940,1690,3560,3870,3860,4310,3750,70,2,20,0,1,4,1,90,4060,4370,4360,4810,4250,1
72,夜之女神 诺特,4,1,166,13430,0,2360,3180,2580,2560,2750,4630,6240,5070,5020,5400,99,2,14,0,3,4,1,1000,6113,8020,6660,6623,6967,1
73,小飞侠 彼得潘,3,1,103,8530,0,2090,2740,2510,2500,2340,4760,6220,5690,5680,5310,70,3,31,0,1,2,1,90,5260,6720,6190,6180,5810,1
74,天鹏 栖枝,3,1,103,8710,0,2210,2890,2400,2440,2500,5020,6570,5450,5540,5690,70,3,3,0,1,2,1,90,5520,7070,5950,6040,6190,1
75,爱神 阿芙洛狄,4,1,165,12540,0,2450,1900,2780,2980,2430,4810,3740,5460,5850,4780,99,2,16,0,3,4,1,1000,6298,5021,7107,7517,6261,1
76,干闼婆,3,1,101,7380,0,2040,1570,2430,2410,2090,4590,3540,5470,5420,4690,70,1,4,0,1,4,1,90,5090,4040,5970,5920,5190,1
77,人鱼公主 艾莉尔,2,1,52,2360,0,930,690,1080,1130,890,2330,1720,2710,2810,2220,40,2,38,0,1,2,0,45,2830,2220,3210,3310,2720,0
78,意志吞噬者 阿尔克墨涅,4,1,164,12070,0,2350,2720,1850,2830,2320,4620,5330,3640,5550,4560,99,2,13,0,3,4,1,1000,6267,7239,5073,7422,6198,1
79,巨毒蟒王,3,1,101,7260,0,2070,2330,1600,2380,1990,4660,5240,3610,5350,4490,70,1,28,0,3,4,1,90,5888,6608,4742,6693,5743,1
80,巨毒蟒蛇,2,1,54,2880,0,1090,1330,920,1280,1130,2710,3320,2290,3210,2820,40,2,9,0,1,4,0,45,3210,3820,2790,3710,3320,1
81,红帽子,2,1,53,2630,0,1040,1160,830,1190,1040,2600,2910,2070,2980,2590,40,2,43,0,1,2,0,45,3100,3410,2570,3480,3090,0
82,淘气鬼 弗恩,3,1,100,7160,0,1910,2120,2160,2030,2010,4290,4770,4870,4580,4520,70,1,5,0,3,4,1,90,5537,6088,6158,5822,5778,1
83,山贼头领,1,1,34,530,0,500,550,540,520,520,2000,2220,2160,2090,2080,30,2,50,0,1,4,0,9,2500,2720,2660,2590,2580,1
84,邪恶冰法师,2,1,52,2370,0,930,1010,1000,870,930,2320,2520,2500,2180,2330,40,2,41,0,1,2,0,45,2820,3020,3000,2680,2830,0
85,邪恶雷法师,2,1,53,2630,0,960,1080,1140,1040,1040,2400,2690,2850,2600,2610,40,2,42,0,1,2,0,45,2900,3190,3350,3100,3110,0
86,机关箭兵长,2,1,52,2370,0,930,970,950,940,940,2330,2440,2360,2350,2350,40,2,49,0,3,4,0,45,3338,3480,3386,3337,3355,1
87,奇行種巨人,3,1,99,6550,0,1880,2050,1910,1750,1760,4170,4550,4240,3880,3910,70,2,14,0,1,2,1,90,4670,5050,4740,4380,4410,1
88,战神 阿瑞斯,4,1,174,18900,0,3630,4040,4030,3600,3600,7940,8830,8820,7870,7870,99,3,17,0,3,4,1,1000,9760,10714,10692,9671,9648,1
89,象头群主 犍尼萨,4,1,172,17320,0,3390,3760,3580,3310,3280,6790,7520,7160,6620,6550,99,1,19,0,3,4,1,1000,8515,9383,9016,8379,8280,0
90,暴走麋鹿,2,1,54,2900,0,1120,1260,1150,1140,1120,2790,3150,2880,2840,2810,40,2,46,0,3,4,0,45,3800,4196,3931,3850,3810,1
91,蛤蟆先锋,1,1,34,450,0,440,490,460,430,420,1760,1960,1840,1710,1660,30,2,54,0,1,2,0,9,2260,2460,2340,2210,2160,1
92,空虚道长,2,1,53,2550,0,990,1060,980,1020,1050,2480,2640,2460,2550,2610,40,2,52,0,3,4,0,45,3561,3740,3511,3611,3740,1
93,蒙面刺客,1,1,33,440,0,420,450,420,430,460,1660,1790,1690,1700,1830,30,2,55,0,1,2,0,9,2160,2290,2190,2200,2330,1
94,骨盔狼王,2,1,52,2330,0,890,1020,910,880,950,2230,2550,2270,2190,2380,40,2,46,0,3,4,0,45,3210,3599,3266,3170,3408,1
95,沙漠力王,2,1,51,2230,0,840,960,890,870,900,2110,2410,2220,2170,2240,40,2,40,0,3,4,0,45,3099,3427,3235,3159,3275,1
96,死灵书,3,1,104,9230,0,2570,2750,2520,2540,2800,5850,6260,5730,5780,6370,70,3,44,0,3,4,1,90,6934,7378,6832,6859,7495,0
97,风魔头领 风魔小太郎,3,1,103,8780,0,2350,2760,2450,2400,2580,5330,6280,5560,5460,5860,70,3,33,0,1,2,1,90,5830,6780,6060,5960,6360,1
98,式神 天一,3,1,97,5880,0,1560,1820,1660,1590,1770,3460,4050,3690,3540,3940,70,2,62,0,1,2,1,90,3960,4550,4190,4040,4440,1
99,食人箱 米米西,4,1,172,17230,0,3340,3600,3410,3230,3650,6670,7190,6810,6460,7310,99,1,67,0,1,2,1,1000,7170,7690,7310,6960,7810,0
100,逐日巨狼 斯库尔,4,1,168,14570,0,2830,3060,2820,2690,3170,5560,6020,5550,5290,6230,99,2,10,0,1,2,1,1000,6060,6520,6050,5790,6730,0
101,山野巨人,1,1,34,520,0,530,670,520,430,450,2120,2680,2070,1740,1790,30,2,50,0,1,4,0,9,2620,3180,2570,2240,2290,1
102,狂暴魔神,3,1,96,5460,1,1680,1890,1530,1330,1370,3730,4200,3410,2960,3050,70,2,35,0,1,2,1,90,4230,4700,3910,3460,3550,1
103,彪悍女贼,1,1,34,530,0,570,680,500,440,460,2280,2700,2010,1760,1860,30,2,55,0,1,2,0,9,2780,3200,2510,2260,2360,1
104,彪悍女狂,1,1,34,520,0,540,670,500,430,450,2150,2700,2010,1710,1790,30,2,52,0,1,2,0,9,2650,3200,2510,2210,2290,1
105,双刀武士,2,1,52,2340,0,970,1170,890,810,830,2430,2920,2220,2030,2090,40,2,48,0,3,4,0,45,3481,4066,3220,2992,3086,1
106,地狱男爵,3,1,97,5900,1,1820,2000,1650,1500,1460,4040,4450,3670,3320,3240,70,2,34,0,1,4,1,90,4540,4950,4170,3820,3740,1
107,天宫守护者 巨灵神,4,1,170,15520,0,3170,3940,3140,2630,2640,6340,7880,6280,5270,5280,99,1,61,0,1,2,1,1000,6840,8380,6780,5770,5780,1
108,狐狸爵士,2,1,53,2620,0,1150,960,940,900,1290,2870,2400,2350,2260,3220,40,2,44,0,3,4,0,45,3919,3431,3339,3224,4373,1
109,狂暴野马,2,1,51,2210,0,890,840,800,770,1110,2220,2100,1990,1930,2770,40,2,25,0,1,2,0,45,2720,2600,2490,2430,3270,1
110,金轮法王,3,1,97,5730,0,1710,1590,1430,1400,2050,3800,3530,3180,3110,4540,70,2,37,0,3,4,1,90,5045,4691,4316,4235,5888,1
111,不死鸟 菲尼克斯,4,1,171,16680,1,3450,3280,2860,2980,4110,7550,7170,6260,6520,8990,99,3,11,0,1,2,1,1000,8050,7670,6760,7020,9490,0
112,海妖 斯库拉,4,1,171,16610,1,3460,3260,2780,2890,4220,7570,7130,6080,6330,9220,99,3,12,0,1,2,1,1000,8070,7630,6580,6830,9720,0
113,灵魂炮兵,2,1,54,2860,0,1060,890,1330,1370,1060,2650,2230,3320,3410,2640,40,2,63,0,1,2,0,45,3150,2730,3820,3910,3140,1
114,阿特拉斯,3,1,100,7140,0,1930,1520,2290,2490,1970,4330,3430,5160,5600,4430,70,1,62,0,1,4,1,90,4830,3930,5660,6100,4930,1
115,钢拳,3,1,97,5740,0,1570,1280,1860,1860,1630,3480,2860,4140,4140,3610,70,2,36,0,3,4,1,90,4720,3946,5529,5511,4861,1
116,独眼妖怪,2,1,51,2170,0,860,810,670,1020,970,2140,2030,1670,2550,2440,40,2,39,0,3,4,0,45,3148,3068,2606,3650,3537,0
117,木乃伊队长,2,1,53,2570,0,980,1020,830,1160,1150,2460,2550,2070,2900,2880,40,2,45,0,3,4,0,45,3445,3527,2997,3958,3970,1
118,残暴相扑,3,1,101,7390,0,1910,2060,1680,2420,2490,4290,4630,3770,5440,5600,70,1,34,0,3,4,1,90,5408,5776,4773,6689,6822,1
119,血色祷告,4,2,149,5960,0,1120,810,1210,1020,840,10389,7222,11456,9435,7632,99,11,116,0,1,1,0,1000,10389,7222,11456,9435,7632,0
120,幽冥闪电,4,2,149,6010,0,980,1080,850,1170,970,8134,9983,6788,10561,8755,99,11,113,0,1,1,0,1000,8134,9983,6788,10561,8755,0
121,逆转阴阳,4,2,149,5990,0,1110,1010,960,990,930,10235,9056,8555,8992,8328,99,11,14,0,1,1,0,1000,10235,9056,8555,8992,8328,0
122,死亡眼神,4,2,149,5950,0,900,1160,840,890,1210,7334,10698,7145,7538,10769,99,11,10,0,1,1,0,1000,7334,10698,7145,7538,10769,0
123,战争号角,4,2,148,5880,0,950,1340,1060,820,830,8310,12037,9426,6835,7103,99,11,34,0,1,1,0,1000,8310,12037,9426,6835,7103,0
124,披风斩月,4,2,149,5950,0,930,960,890,870,1350,7965,8132,7666,7214,11968,99,11,43,0,1,1,0,1000,7965,8132,7666,7214,11968,0
125,破碎虚空,4,2,149,5910,0,1300,1050,1150,740,760,12098,9599,10211,6575,6892,99,11,118,0,1,1,0,1000,12098,9599,10211,6575,6892,0
126,灵魂燃烧,4,2,149,6030,0,890,810,860,1360,1130,7287,6951,6311,12303,9992,99,11,9998,0,1,1,0,1000,7287,6951,6311,12303,9992,0
127,最终BOSS,4,4,158,9300,1,6000,700,900,1000,700,6470,8410,6670,6640,6860,99,2,119,0,1,1,0,1000,6970,8910,7170,7140,7360,0
128,黄金史莱姆,4,4,171,1,0,1,1,1,1,1,1,1,1,1,1,1,2,40,0,1,1,0,2000,1,1,1,1,1,1
129,果冻史莱姆,2,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,40,0,1,1,0,100,1,1,1,1,1,1
130,蘇拉,3,4,85,2600,0,1050,750,1300,1030,910,4650,4820,5180,4450,4660,70,2,60,0,1,1,0,90,5150,5320,5680,4950,5160,0
131,黑市商人,4,4,171,16600,0,3060,2630,3810,4030,3070,6010,5170,7480,7920,6040,99,2,1,0,1,1,0,1000,6510,5670,7980,8420,6540,0
132,黑市商人 II,4,4,171,16790,0,3270,2500,3730,3990,3300,6420,4900,7320,7850,6480,99,2,1,0,1,1,0,1000,6920,5400,7820,8350,6980,0
133,天使史莱姆,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,40,0,1,1,0,500,501,501,501,501,501,1
134,皇陵守卫,1,1,34,460,0,450,360,510,530,460,1810,1460,2060,2110,1840,30,2,55,0,1,1,0,9,2310,1960,2560,2610,2340,0
135,铁爪狮人,1,1,34,520,0,490,410,590,590,500,1970,1620,2340,2370,1990,30,2,50,0,1,2,0,9,2470,2120,2840,2870,2490,1
136,六目傀儡,1,1,34,520,0,480,400,590,600,520,1930,1610,2360,2400,2070,30,2,64,0,1,4,0,9,2430,2110,2860,2900,2570,1
137,弹弹狸猫,2,1,94,2970,1,1100,930,1400,1370,1140,2740,2310,3490,3430,2850,40,2,2,0,3,4,0,45,3941,3398,4801,4725,4049,1
139,投石鸟王,1,1,35,570,0,540,460,650,660,530,2180,1830,2610,2630,2130,30,2,47,0,1,4,0,9,2680,2330,3110,3130,2630,1
141,白骨妖妇,2,1,95,3030,1,1190,920,1380,1400,1160,2970,2300,3440,3500,2890,40,2,40,0,1,4,0,45,3470,2800,3940,4000,3390,1
143,狂躁哥布林,2,1,93,2620,0,990,790,1240,1190,1030,2470,1970,3100,2970,2570,40,2,67,0,3,4,0,45,3508,2973,4025,4081,3667,1
144,蛮力野猪,2,1,93,2670,0,1040,840,1230,1200,1030,2590,2100,3070,3000,2580,40,2,45,0,1,4,0,45,3090,2600,3570,3500,3080,1
145,五色孔雀,2,1,91,2210,0,860,680,1010,1010,850,2140,1700,2530,2540,2130,40,2,45,0,3,4,0,45,3189,2675,3678,3697,3211,1
146,羊人萨满,2,1,94,2880,0,1100,880,1350,1350,1070,2750,2190,3370,3370,2690,40,2,45,0,1,2,0,45,3250,2690,3870,3870,3190,1
147,白骨妖精,3,1,144,9200,0,2500,2070,3080,3010,2480,5690,4720,7000,6840,5640,70,3,41,0,3,4,1,90,6978,5854,8396,8250,6910,1
148,葫芦精灵,2,1,93,2620,0,1010,800,1220,1200,1010,2530,2000,3050,3010,2520,40,2,46,0,1,4,0,45,3030,2500,3550,3510,3020,1
149,黑暗女巫,2,1,92,2350,0,900,730,1130,1070,860,2250,1820,2830,2670,2140,40,2,45,0,1,2,0,45,2750,2320,3330,3170,2640,1
152,巨毒蜈蚣,2,1,94,2980,0,1140,1100,930,1380,1400,2850,2760,2320,3450,3510,40,2,25,0,1,2,0,45,3350,3260,2820,3950,4010,1
155,投石雕王,2,1,95,3040,0,1150,950,1400,1380,1190,2880,2360,3500,3440,2970,40,2,31,0,3,4,0,45,3987,3386,4705,4650,4065,1
156,葫芦魔王,4,1,206,13170,0,2480,2050,2990,3150,2500,4960,4110,5990,6310,5000,99,1,46,0,3,4,1,1000,6147,5175,7297,7607,6184,1
160,巨狼玛纳加尔姆,4,1,212,17750,1,3150,4110,3520,3450,3520,6900,9000,7700,7550,7710,99,3,45,0,1,1,1,1000,7400,9500,8200,8050,8210,0
161,巨狼哈提,4,1,213,17890,1,3260,4160,3580,3440,3450,7130,9090,7820,7520,7540,99,3,17,0,1,1,1,1000,7630,9590,8320,8020,8040,0
162,魔族圣甲虫,2,1,93,2610,0,1030,990,800,1210,1180,2570,2470,2000,3030,2950,40,2,25,0,1,2,0,45,3070,2970,2500,3530,3450,0
163,蛮力巨蜥,2,1,93,2550,0,990,1060,1060,990,1000,2480,2650,2640,2470,2510,40,2,44,0,1,2,0,45,2980,3150,3140,2970,3010,0
164,熊猫酒仙,2,1,93,2540,0,990,980,800,1160,1140,2470,2460,2000,2910,2860,40,2,53,0,1,2,0,45,2970,2960,2500,3410,3360,0
165,银针蜂后,2,1,91,2220,0,880,870,660,1000,1020,2210,2180,1660,2500,2540,40,2,9,0,1,2,0,45,2710,2680,2160,3000,3040,0
166,恐怖屠夫,2,1,92,2340,0,930,890,720,1100,1040,2340,2230,1800,2750,2610,40,2,53,0,1,2,0,45,2840,2730,2300,3250,3110,0
167,腐烂尸王,2,1,91,2200,0,870,880,660,950,1030,2170,2190,1660,2380,2590,40,2,29,0,1,2,0,45,2670,2690,2160,2880,3090,0
168,蒙面盜賊,2,1,92,2330,0,920,900,710,1030,1090,2310,2250,1770,2580,2740,40,2,52,0,1,2,0,45,2810,2750,2270,3080,3240,1
169,吸血蝙蝠,2,1,93,2570,0,1000,1000,810,1150,1180,2500,2500,2030,2860,2940,40,2,33,0,1,2,0,45,3000,3000,2530,3360,3440,0
170,牛魔王,3,1,142,7950,0,2440,2910,2070,1900,2030,5540,6620,4710,4320,4620,70,3,34,0,1,4,1,90,6040,7120,5210,4820,5120,0
171,恶鬼终结者 白无常,3,1,142,7910,0,2160,2160,1740,2720,2520,4900,4910,3960,6180,5740,70,3,33,0,1,2,1,90,5400,5410,4460,6680,6240,1
172,恶鬼终结者 黑无常,3,1,140,7210,0,2010,1940,1530,2390,2430,4520,4360,3440,5370,5460,70,1,33,0,1,2,1,90,5020,4860,3940,5870,5960,1
173,服部半藏,3,1,141,7240,0,2000,2000,1580,2400,2370,4510,4510,3560,5400,5330,70,1,18,0,1,4,1,90,5010,5010,4060,5900,5830,1
174,拉冬,3,1,139,6500,0,1770,1800,1390,2190,2140,3930,4010,3090,4880,4760,70,2,29,0,1,4,1,90,4430,4510,3590,5380,5260,1
175,勾魂使者 牛头人,3,1,141,7330,0,2260,2670,1990,1820,1730,5080,6000,4480,4090,3890,70,1,34,0,1,2,1,90,5580,6500,4980,4590,4390,1
176,勾魂使者 马头人,3,1,142,7970,1,2450,2930,2160,1900,1940,5580,6660,4910,4310,4410,70,3,46,0,1,2,1,90,6080,7160,5410,4810,4910,1
177,第一勇士 阿喀琉斯,4,1,210,15590,1,2920,2990,2250,3690,3740,5840,5990,4500,7390,7480,99,1,18,0,1,2,1,1000,6340,6490,5000,7890,7980,1
178,淘气小精灵,1,1,33,440,0,430,420,340,520,510,1700,1690,1360,2100,2040,30,2,5,0,1,2,0,9,2200,2190,1860,2600,2540,0
179,蛙神 海奎特,3,1,141,7250,0,2040,1990,1550,2340,2440,4590,4480,3480,5260,5490,70,1,29,0,1,2,1,90,5090,4980,3980,5760,5990,1
180,哪咤,3,1,142,7960,0,2190,2560,1740,2620,2260,4940,5760,3910,5890,5090,70,1,18,0,1,4,1,90,5440,6260,4410,6390,5590,1
