pactid,result,weight
EP3,207,0
EP3,209,0.8
EP3,214,0
EP3,215,0.5
EP3,218,0.8
EP3,228,0
EP3,233,0.4
EP3,237,0.4
EP3,239,0
EP3,246,0.5
EP3,249,0.8
EP3,254,0
EP3,256,0
EP3,258,0
EP3,262,0
EP3,264,0.8
EP3,272,0.5
EP3,274,0.5
EP3,276,0
EP3,292,0
EP3,303,0
EP3,307,0
EP3,310,0
EP3,315,0
EP3,317,0
EP3,319,0
EP3,323,0
EP3,326,0
EP3,329,0
EP3,331,0
EP3,334,0.8
EP3,336,0.8
EP3,338,0.8
EP3,340,0
EP3,342,0.8
EP3,344,0
EP3,348,0.8
EP3,353,0.8
EP3,355,0.8
EP3,357,0
EP3,360,0
EP3,365,0.8
EP3,368,0
EP3,372,0.5
EP3,381,0
EP3,383,0
EP3,390,0.5
EP3,393,0
EP3,409,0
EP3,413,0.5
EP3,418,0.5
EP3,420,0.8
EP3,422,0
EP3,425,0
EP3,427,0
EP3,430,0.8
EP3,432,0
EP3,434,0
EP3,436,0
EP3,438,0
EP3,445,0
EP3,449,0.8
EP3,452,0
EP3,454,0.5
EP3,456,0.5
EP3,459,0
EP3,461,0
EP3,464,0
EP3,467,0
EP3,469,0
EP3,471,0
EP3,473,0
EP3,476,0.4
EP3,478,0.8
EP3,480,0.4
EP3,482,0
EP3,484,0.8
EP3,486,0
EP3,488,0
EP3,490,0.8
EP3,492,0
EP3,494,0
EP3,496,0
EP3,503,0
EP3,505,0
EP3,509,0
EP3,512,0
EP3,514,0.8
EP3,550,0
EP3,553,0
EP3,557,0
EP3,560,0
EP3,564,0
EP3,566,0
EP3,568,0
EP3,574,0
EP3,576,0
EP3,578,0
EP3,582,0
EP3,584,0
EP3,586,0
EP3,588,0
EP3,590,0
EP3,592,0
EP3,606,0
EP3,637,0
EP3,647,0
EP4,10011,0.5
EP4,10013,0.8
EP4,10072,0.8
EP4,10075,0.8
EP4,10078,0.8
EP4,10088,0.3
EP4,10089,0
EP4,10156,1
EP4,10181,0.8
EP4,10182,0.5
EP4,10183,1
EP4,10184,0.5
EP4,10185,0
EP4,10186,0.5
EP4,10187,1
EP4,10190,0.8
EP4,10191,0.8
EP4,10192,0.5
EP4,10206,0
EP4,10207,0
EP4,10209,0.8
EP4,10214,0
EP4,10215,0
EP4,10218,0.8
EP4,10228,0
EP4,10233,0.5
EP4,10237,0.4
EP4,10239,0
EP4,10246,0.8
EP4,10249,0.8
EP4,10254,0
EP4,10256,0
EP4,10258,0
EP4,10262,0
EP4,10264,0.8
EP4,10272,0.5
EP4,10274,0.5
EP4,10276,0
EP4,10292,0
EP4,10303,0
EP4,10307,0
EP4,10310,0
EP4,10315,0
EP4,10317,0
EP4,10319,0
EP4,10323,0
EP4,10326,0
EP4,10329,0
EP4,10331,0
EP4,10334,0.8
EP4,10336,0.8
EP4,10338,0.8
EP4,10340,0
EP4,10342,0.8
EP4,10344,0
EP4,10348,0.8
EP4,10353,0.8
EP4,10355,0.8
EP4,10357,0
EP4,10360,0
EP4,10365,0.8
EP4,10368,0
EP4,10372,0.5
EP4,10381,0
EP4,10383,0
EP4,10390,0.5
EP4,10393,0
EP4,10409,0
EP4,10413,0.8
EP4,10418,0.5
EP4,10420,0.8
EP4,10422,0
EP4,10425,0
EP4,10427,0
EP4,10430,0.8
EP4,10432,0
EP4,10434,0
EP4,10436,0
EP4,10438,0
EP4,10445,0
EP4,10449,0.8
EP4,10452,0
EP4,10454,0.5
EP4,10456,0.5
EP4,10459,0
EP4,10461,0
EP4,10464,0
EP4,10467,0
EP4,10469,0
EP4,10471,0
EP4,10473,0
EP4,10476,0.5
EP4,10478,0.8
EP4,10480,0.5
EP4,10482,0
EP4,10484,0.8
EP4,10486,0
EP4,10488,0
EP4,10490,0.8
EP4,10492,0
EP4,10494,0
EP4,10496,0
EP4,10503,0
EP4,10505,0
EP4,10509,0
EP4,10512,0
EP4,10514,0.8
EP4,10550,0
EP4,10553,0
EP4,10557,0
EP4,10560,0
EP4,10564,0
EP4,10566,0
EP4,10568,0
EP4,10574,0
EP4,10576,0
EP4,10578,0
EP4,10582,0
EP4,10584,0
EP4,10586,0
EP4,10588,0
EP4,10590,0
EP4,10592,0
EP4,10606,0
EP4,10637,0
EP4,10647,0
L1,308,0
L1,311,0
L1,313,0
L1,327,0
L1,332,0
L1,349,0
L1,358,0
L1,361,0
L1,414,0
L1,423,0
L1,428,0
L1,450,0
L1,462,0
L1,465,0
L1,470,0
L1,474,0
L1,497,0
L1,510,0
L1,551,0
L1,558,1
L1,569,0
L1,570,0
L1,571,0
L1,593,0
L2,10423,0
L2,10428,0
L2,10450,0
L2,10465,0
L2,10470,0
L2,10474,0
L2,10497,0
L2,10510,0
L2,10551,0
L2,10558,0
L2,10569,0
L2,10570,0
L2,10571,0
L2,10593,0
R1,8,1
R1,15,0.5
R1,23,0.8
R1,30,0.8
R1,33,1
R1,34,1
R1,43,1
R1,46,0.5
R1,47,1
R1,48,1
R1,51,0.8
R1,52,0.5
R1,69,0.8
R1,71,0.8
R1,73,1
R1,74,1
R1,76,1
R1,87,0
R1,97,0.8
R1,98,1
R1,102,1
R1,106,0.5
R1,114,0
R1,130,0
R1,133,0
R1,170,0
R1,171,0.8
R1,172,0.8
R1,173,0.5
R1,174,1
R1,175,1
R1,176,1
R1,179,1
R1,180,0.5
R1,189,0.8
R1,197,0
R1,198,0
R1,202,0
R1,205,0
R1,208,0
R1,210,0.8
R1,211,0.8
R1,212,0.3
R1,213,0
R1,216,0.5
R1,217,0.8
R1,227,0
R1,232,0.4
R1,236,0.4
R1,238,0
R1,245,0.8
R1,248,0.8
R1,253,0
R1,255,0
R1,257,0
R1,261,0
R1,263,0.8
R1,271,0.5
R1,273,0.5
R1,275,0
R1,277,0
R1,291,0
R1,302,0
R1,306,0
R1,309,0
R1,314,0
R1,316,0
R1,318,0
R1,322,0
R1,325,0
R1,328,0
R1,330,0
R1,333,0.8
R1,335,0.8
R1,337,0.8
R1,339,0
R1,341,0
R1,343,0
R1,347,0.8
R1,352,0.8
R1,354,0.8
R1,356,0
R1,359,0
R1,364,0.8
R1,367,0
R1,371,0.5
R1,379,0
R1,380,0
R1,382,0
R1,389,0.5
R1,392,0
R1,394,0
R1,395,0
R1,408,0
R1,412,0.8
R1,417,0.4
R1,419,0.8
R1,421,0
R1,424,0
R1,426,0
R1,429,0.8
R1,431,0
R1,433,0
R1,435,0
R1,437,0
R1,443,0
R1,444,0
R1,448,0.8
R1,451,0
R1,453,0.5
R1,455,0.5
R1,458,0
R1,460,0
R1,463,0
R1,466,0
R1,468,0
R1,472,0
R1,475,0.4
R1,477,0.8
R1,479,0.4
R1,481,0
R1,483,0.8
R1,485,0
R1,487,0
R1,489,0.8
R1,491,0
R1,493,0
R1,495,0
R1,502,0
R1,504,0
R1,508,0
R1,511,0
R1,513,0.8
R1,549,0
R1,552,0
R1,556,0
R1,559,0
R1,563,0
R1,565,0
R1,567,0
R1,573,0
R1,575,0
R1,577,0
R1,581,0
R1,583,0
R1,585,0
R1,587,0
R1,589,0
R1,591,0
R1,605,0
R1,636,0
R1,646,0
R1,10277,0
R2,10008,1
R2,10015,0.5
R2,10023,0.8
R2,10030,0.8
R2,10033,1
R2,10034,1
R2,10043,1
R2,10046,0.5
R2,10047,1
R2,10048,1
R2,10051,0.8
R2,10052,0.5
R2,10069,0.8
R2,10071,0.8
R2,10073,1
R2,10074,1
R2,10076,1
R2,10087,0
R2,10097,0.8
R2,10098,1
R2,10102,1
R2,10106,0.5
R2,10114,0
R2,10170,0
R2,10171,0.8
R2,10172,0.8
R2,10173,0.5
R2,10174,1
R2,10175,1
R2,10176,1
R2,10179,0
R2,10180,0.5
R2,10189,0.5
R2,10205,0
R2,10208,0
R2,10210,0.8
R2,10211,0.5
R2,10212,0.3
R2,10213,0
R2,10216,0.5
R2,10217,0.8
R2,10227,0
R2,10232,0.4
R2,10236,0.4
R2,10238,0
R2,10245,0.5
R2,10248,0.8
R2,10253,0
R2,10255,0
R2,10257,0
R2,10261,0
R2,10263,0.8
R2,10271,0.5
R2,10273,0.5
R2,10275,0
R2,10291,0
R2,10302,0
R2,10306,0
R2,10309,0
R2,10314,0
R2,10316,0
R2,10318,0
R2,10322,0
R2,10325,0
R2,10328,0
R2,10330,0
R2,10333,0.8
R2,10335,0.8
R2,10337,0.8
R2,10339,0
R2,10341,0
R2,10343,0
R2,10347,0.8
R2,10352,0.8
R2,10354,0.8
R2,10356,0
R2,10359,0
R2,10364,0.8
R2,10367,0
R2,10371,0.5
R2,10380,0
R2,10382,0
R2,10389,0.5
R2,10392,0
R2,10394,0
R2,10395,0
R2,10408,0
R2,10412,0.5
R2,10417,0.4
R2,10419,0.8
R2,10421,0
R2,10424,0
R2,10426,0
R2,10429,0.8
R2,10431,0
R2,10433,0
R2,10435,0
R2,10437,0
R2,10443,0
R2,10444,0
R2,10448,0.8
R2,10451,0
R2,10453,0.5
R2,10455,0.5
R2,10458,0
R2,10460,0
R2,10463,0
R2,10466,0
R2,10468,0
R2,10472,0
R2,10475,0.4
R2,10477,0.8
R2,10479,0.4
R2,10481,0
R2,10483,0.8
R2,10485,0
R2,10487,0
R2,10489,0.8
R2,10491,0
R2,10493,0
R2,10495,0
R2,10502,0
R2,10504,0
R2,10508,0
R2,10511,0
R2,10513,0.8
R2,10549,0
R2,10552,0
R2,10556,0
R2,10559,0
R2,10563,0
R2,10565,0
R2,10567,0
R2,10573,0
R2,10575,0
R2,10577,0
R2,10581,0
R2,10583,0
R2,10585,0
R2,10587,0
R2,10589,0
R2,10591,0
R2,10605,0
R2,10636,0
R2,10646,0
R3,58,0.8
R3,61,0.8
R3,79,0.8
R3,82,0.8
R3,96,0
R3,110,1
R3,115,1
R3,118,0.8
R3,147,0.8
R3,204,0
R3,220,0
R3,222,0
R3,235,0
R3,241,0
R3,244,0
R3,251,0
R3,260,0
R3,268,0
R3,270,0
R3,282,0
R3,286,0
R3,296,0
R3,298,0
R3,300,0
R3,305,0
R3,321,0
R3,346,0
R3,363,0
R3,370,0
R3,385,0
R3,388,0
R3,399,0
R3,401,0
R3,405,0
R3,407,0
R3,411,0
R3,440,0
R3,442,0
R3,447,0
R3,499,0
R3,501,0
R3,507,0
R3,516,0
R3,518,0
R3,562,0
R3,602,0
R3,630,0
R4,10058,0.8
R4,10061,0.8
R4,10079,0.8
R4,10082,0.8
R4,10096,0
R4,10110,1
R4,10115,1
R4,10118,0.8
R4,10147,0.8
R4,10204,0
R4,10220,0
R4,10222,0
R4,10235,0
R4,10241,0
R4,10244,0
R4,10251,0
R4,10260,0
R4,10268,0
R4,10270,0
R4,10282,0
R4,10286,0
R4,10296,0
R4,10298,0
R4,10300,0
R4,10305,0
R4,10321,0
R4,10346,0
R4,10363,0
R4,10370,0
R4,10385,0
R4,10388,0
R4,10399,0
R4,10401,0
R4,10405,0
R4,10407,0
R4,10411,0
R4,10440,0
R4,10442,0
R4,10447,0
R4,10499,0
R4,10501,0
R4,10507,0
R4,10516,0
R4,10518,0
R4,10562,0
R4,10602,0
R4,10630,0
UC1,1,1
UC1,2,0
UC1,5,0.8
UC1,20,1
UC1,24,0
UC1,26,1
UC1,29,1
UC1,32,1
UC1,39,0
UC1,40,0.8
UC1,41,0.8
UC1,42,1
UC1,49,1
UC1,50,1
UC1,53,1
UC1,54,0
UC1,56,1
UC1,59,1
UC1,60,1
UC1,77,0
UC1,80,0.8
UC1,81,0
UC1,84,0
UC1,85,0
UC1,109,1
UC1,113,0.8
UC1,141,0.6
UC1,144,1
UC1,146,0.8
UC1,148,0.8
UC1,149,1
UC1,152,0.6
UC1,162,0
UC1,163,0
UC1,164,0
UC1,165,0
UC1,166,0
UC1,167,0
UC1,168,0
UC1,169,0
UC1,195,0
UC1,196,0
UC1,203,0
UC1,219,0
UC1,221,0
UC1,224,0
UC1,229,0
UC1,234,0
UC1,240,0
UC1,242,0
UC1,243,0
UC1,247,0
UC1,250,0
UC1,259,0
UC1,267,0
UC1,269,0
UC1,281,0
UC1,285,0
UC1,295,0
UC1,297,0
UC1,299,0
UC1,304,0
UC1,320,0
UC1,345,0
UC1,350,0
UC1,351,0
UC1,362,0
UC1,369,0
UC1,384,0
UC1,386,0
UC1,387,0
UC1,391,0
UC1,398,0
UC1,400,0
UC1,404,0
UC1,406,0
UC1,410,0
UC1,439,0
UC1,441,0
UC1,446,0
UC1,498,0
UC1,500,0
UC1,506,0
UC1,515,0
UC1,517,0
UC1,561,0
UC1,601,0
UC1,629,0
UC1,10129,0
UC2,10001,0.8
UC2,10002,0
UC2,10005,0.8
UC2,10020,1
UC2,10024,0
UC2,10026,1
UC2,10029,1
UC2,10032,0.8
UC2,10039,0
UC2,10040,0.8
UC2,10041,0.6
UC2,10042,1
UC2,10049,1
UC2,10050,1
UC2,10053,0.8
UC2,10054,0
UC2,10056,1
UC2,10059,0.8
UC2,10060,1
UC2,10077,0
UC2,10080,1
UC2,10081,0.8
UC2,10084,0
UC2,10085,0.8
UC2,10109,1
UC2,10113,0.6
UC2,10141,0.6
UC2,10144,1
UC2,10146,0.6
UC2,10148,1
UC2,10149,1
UC2,10152,0.6
UC2,10162,0
UC2,10163,0
UC2,10164,0
UC2,10165,0
UC2,10166,0
UC2,10167,0
UC2,10168,0
UC2,10169,0
UC2,10203,0
UC2,10219,0
UC2,10221,0
UC2,10224,0
UC2,10229,0
UC2,10234,0
UC2,10240,0
UC2,10242,0
UC2,10243,0
UC2,10247,0
UC2,10250,0
UC2,10259,0
UC2,10267,0
UC2,10269,0
UC2,10281,0
UC2,10285,0
UC2,10295,0
UC2,10297,0
UC2,10299,0
UC2,10304,0
UC2,10320,0
UC2,10345,0
UC2,10350,0
UC2,10351,0
UC2,10362,0
UC2,10369,0
UC2,10384,0
UC2,10386,0
UC2,10387,0
UC2,10391,0
UC2,10398,0
UC2,10400,0
UC2,10404,0
UC2,10406,0
UC2,10410,0
UC2,10439,0
UC2,10441,0
UC2,10446,0
UC2,10498,0
UC2,10500,0
UC2,10506,0
UC2,10515,0
UC2,10517,0
UC2,10561,0
UC2,10601,0
UC2,10629,0
UC3,6,1
UC3,19,0.8
UC3,67,1
UC3,68,1
UC3,86,1
UC3,90,0.8
UC3,92,1
UC3,94,1
UC3,95,1
UC3,105,1
UC3,108,1
UC3,116,0
UC3,117,1
UC3,137,0.8
UC3,143,1
UC3,145,1
UC3,155,0.8
UC3,226,0
UC3,266,0
UC3,279,0
UC3,288,0
UC3,290,0
UC3,294,0
UC3,374,0
UC3,376,0
UC3,378,0
UC3,397,0
UC3,416,0
UC4,10006,1
UC4,10019,0.6
UC4,10067,1
UC4,10068,1
UC4,10086,1
UC4,10090,0.6
UC4,10092,0.8
UC4,10094,1
UC4,10095,1
UC4,10105,1
UC4,10108,0.8
UC4,10116,0
UC4,10117,0.8
UC4,10137,0.6
UC4,10143,0.8
UC4,10145,1
UC4,10155,0.6
UC4,10226,0
UC4,10266,0
UC4,10279,0
UC4,10288,0
UC4,10290,0
UC4,10294,0
UC4,10374,0
UC4,10376,0
UC4,10378,0
UC4,10397,0
UC4,10416,0
S1,236,1
S1,354,1
S1,371,1
S1,232,1
S1,69,1
S1,180,1
